tweet_id,favorite_count,retweet_count
666020888022790149,2332,440
666029285002620928,117,41
666033412701032449,105,38
666044226329800704,255,119
666049248165822465,92,37
666050758794694657,119,51
666051853826850816,1073,734
666055525042405380,390,207
666057090499244032,260,116
666058600524156928,103,49
666063827256086533,422,186
666071193221509120,133,52
666073100786774016,278,138
666082916733198337,100,41
666094000022159362,149,65
666099513787052032,139,56
666102155909144576,68,11
666104133288665088,13014,5673
666268910803644416,91,32
666273097616637952,155,69
666287406224695296,128,57
666293911632134144,445,304
666337882303524864,171,80
666345417576210432,258,128
666353288456101888,189,63
666362758909284353,681,487
666373753744588802,165,75
666396247373291520,151,72
666407126856765440,98,30
666411507551481857,385,281
666418789513326592,109,39
666421158376562688,286,95
666428276349472768,146,68
666430724426358785,285,172
666435652385423360,144,44
666437273139982337,108,41
666447344410484738,93,19
666454714377183233,459,189
666644823164719104,215,73
666649482315059201,1013,557
666691418707132416,168,43
666701168228331520,386,193
666739327293083650,213,60
666776908487630848,314,152
666781792255496192,347,171
666786068205871104,680,429
666804364988780544,211,79
666817836334096384,462,224
666826780179869698,231,81
666835007768551424,189,70
666837028449972224,734,488
666983947667116034,2317,874
666996132027977728,220,80
667012601033924608,410,196
667044094246576128,171,44
667062181243039745,200,47
667065535570550784,150,40
667073648344346624,364,106
667090893657276420,302,111
667119796878725120,299,117
667138269671505920,4140,1955
667152164079423490,43550,15116
667160273090932737,230,55
667165590075940865,2447,1017
667171260800061440,198,73
667174963120574464,224,70
667176164155375616,550,407
667177989038297088,175,50
667182792070062081,12991,5483
667188689915760640,668,350
667192066997374976,343,88
667200525029539841,566,236
667211855547486208,445,219
667369227918143488,335,150
667393430834667520,177,51
667405339315146752,429,202
667435689202614272,281,79
667437278097252352,412,213
667443425659232256,705,519
667453023279554560,288,80
667455448082227200,176,56
667470559035432960,231,88
667491009379606528,472,201
667495797102141441,476,239
667502640335572993,498,201
667509364010450944,6254,1919
667517642048163840,340,176
667524857454854144,1552,1009
667530908589760512,428,218
667534815156183040,744,473
667538891197542400,186,59
667544320556335104,785,479
667546741521195010,312,115
667549055577362432,5263,2028
667550882905632768,0,26
667550904950915073,0,29
667724302356258817,440,285
667728196545200128,340,136
667766675769573376,391,198
667773195014021121,212,47
667782464991965184,376,222
667793409583771648,635,302
667801013445750784,294,84
667806454573760512,968,445
667832474953625600,266,57
667861340749471744,227,74
667866724293877760,2792,933
667873844930215936,575,367
667878741721415682,362,106
667885044254572545,757,422
667886921285246976,1713,961
667902449697558528,786,348
667911425562669056,447,261
667915453470232577,192,50
667924896115245057,272,98
667937095915278337,1141,725
668113020489474048,614,214
668142349051129856,529,254
668154635664932864,458,283
668171859951755264,443,168
668190681446379520,595,181
668204964695683073,511,178
668221241640230912,466,178
668226093875376128,264,90
668237644992782336,5648,2545
668248472370458624,869,423
668256321989451776,1188,540
668268907921326080,504,211
668274247790391296,751,210
668286279830867968,459,125
668291999406125056,221,29
668297328638447616,572,270
668466899341221888,808,463
668480044826800133,415,131
668484198282485761,382,214
668496999348633600,373,118
668507509523615744,297,94
668528771708952576,424,198
668537837512433665,233,63
668542336805281792,415,191
668544745690562560,467,204
668567822092664832,218,49
668614819948453888,564,286
668620235289837568,187,36
668623201287675904,1295,676
668625577880875008,349,116
668627278264475648,288,100
668631377374486528,651,290
668633411083464705,2559,1438
668636665813057536,950,449
668641109086707712,978,488
668643542311546881,807,467
668645506898350081,808,475
668655139528511488,487,198
668779399630725120,656,338
668815180734689280,512,234
668826086256599040,393,119
668852170888998912,417,145
668872652652679168,488,274
668892474547511297,368,133
668902994700836864,291,91
668932921458302977,233,53
668955713004314625,249,65
668960084974809088,641,222
668975677807423489,1192,525
668979806671884288,726,312
668981893510119424,496,273
668986018524233728,502,147
668988183816871936,829,412
668989615043424256,616,301
668992363537309700,675,306
668994913074286592,398,203
669000397445533696,19239,5733
669006782128353280,531,219
669015743032369152,676,335
669037058363662336,598,281
669203728096960512,922,421
669214165781868544,397,143
669216679721873412,1092,365
669324657376567296,453,191
669327207240699904,527,112
669328503091937280,933,381
669351434509529089,399,166
